Date,wdsp,wdsp^3,glorad
01/01/1950,9.9,970.299, 
02/01/1950,16.5,4492.125, 
03/01/1950,10.2,1061.208, 
04/01/1950,7,343, 
05/01/1950,10.2,1061.208, 
06/01/1950,16.1,4173.281, 
07/01/1950,14.5,3048.625, 
08/01/1950,14.5,3048.625, 
09/01/1950,8.8,681.472, 
10/01/1950,10.8,1259.712, 
11/01/1950,14.2,2863.288, 
12/01/1950,10.7,1225.043, 
13/01/1950,6.8,314.432, 
14/01/1950,9.9,970.299, 
15/01/1950,12.1,1771.561, 
16/01/1950,12,1728, 
17/01/1950,2.3,12.167, 
18/01/1950,1.1,1.331, 
19/01/1950,4,64, 
20/01/1950,4,64, 
21/01/1950,4.5,91.125, 
22/01/1950,7.7,456.533, 
23/01/1950,8.5,614.125, 
24/01/1950,4.3,79.507, 
25/01/1950,1.9,6.859, 
26/01/1950,9.1,753.571, 
27/01/1950,14.9,3307.949, 
28/01/1950,21.9,10503.459, 
29/01/1950,16.1,4173.281, 
30/01/1950,6.5,274.625, 
31/01/1950,6.6,287.496, 
01/02/1950,13.9,2685.619, 
02/02/1950,16.4,4410.944, 
03/02/1950,9.1,753.571, 
04/02/1950,5.7,185.193, 
05/02/1950,6.8,314.432, 
06/02/1950,5.3,148.877, 
07/02/1950,12,1728, 
08/02/1950,9.6,884.736, 
09/02/1950,9.5,857.375, 
10/02/1950,15.3,3581.577, 
11/02/1950,17.2,5088.448, 
12/02/1950,6.9,328.509, 
13/02/1950,9.5,857.375, 
14/02/1950,11.1,1367.631, 
15/02/1950,17,4913, 
16/02/1950,27.5,20796.875, 
17/02/1950,14.5,3048.625, 
18/02/1950,11,1331, 
19/02/1950,8,512, 
20/02/1950,7.3,389.017, 
21/02/1950,5.1,132.651, 
22/02/1950,9.2,778.688, 
23/02/1950,10.3,1092.727, 
24/02/1950,11.6,1560.896, 
25/02/1950,13.3,2352.637, 
26/02/1950,9.4,830.584, 
27/02/1950,10.3,1092.727, 
28/02/1950,4.8,110.592, 
01/03/1950,9.8,941.192, 
02/03/1950,15.9,4019.679, 
03/03/1950,12.1,1771.561, 
04/03/1950,11.1,1367.631, 
05/03/1950,6.9,328.509, 
06/03/1950,7.1,357.911, 
07/03/1950,7.2,373.248, 
08/03/1950,9.3,804.357, 
09/03/1950,5.8,195.112, 
10/03/1950,2,8, 
11/03/1950,3.6,46.656, 
12/03/1950,4.3,79.507, 
13/03/1950,4.6,97.336, 
14/03/1950,11.3,1442.897, 
15/03/1950,13.7,2571.353, 
16/03/1950,16.7,4657.463, 
17/03/1950,14,2744, 
18/03/1950,9.4,830.584, 
19/03/1950,10,1000, 
20/03/1950,7.4,405.224, 
21/03/1950,6.5,274.625, 
22/03/1950,5.9,205.379, 
23/03/1950,8.3,571.787, 
24/03/1950,8.4,592.704, 
25/03/1950,13.2,2299.968, 
26/03/1950,6.4,262.144, 
27/03/1950,7.5,421.875, 
28/03/1950,7.1,357.911, 
29/03/1950,8.2,551.368, 
30/03/1950,7.8,474.552, 
31/03/1950,13.9,2685.619, 
01/04/1950,16.2,4251.528, 
02/04/1950,23.3,12649.337, 
03/04/1950,11.7,1601.613, 
04/04/1950,14.9,3307.949, 
05/04/1950,5.7,185.193, 
06/04/1950,13.7,2571.353, 
07/04/1950,15.8,3944.312, 
08/04/1950,22.4,11239.424, 
09/04/1950,20.1,8120.601, 
10/04/1950,20.2,8242.408, 
11/04/1950,13.2,2299.968, 
12/04/1950,12.1,1771.561, 
13/04/1950,9.9,970.299, 
14/04/1950,8.4,592.704, 
15/04/1950,8.2,551.368, 
16/04/1950,8.9,704.969, 
17/04/1950,5.2,140.608, 
18/04/1950,15.8,3944.312, 
19/04/1950,5.6,175.616, 
20/04/1950,11.4,1481.544, 
21/04/1950,6.8,314.432, 
22/04/1950,10.5,1157.625, 
23/04/1950,11,1331, 
24/04/1950,15.2,3511.808, 
25/04/1950,11,1331, 
26/04/1950,15.6,3796.416, 
27/04/1950,9.9,970.299, 
28/04/1950,3,27, 
29/04/1950,8.8,681.472, 
30/04/1950,11.4,1481.544, 
01/05/1950,16.3,4330.747, 
02/05/1950,14.1,2803.221, 
03/05/1950,2.6,17.576, 
04/05/1950,3.3,35.937, 
05/05/1950,6.8,314.432, 
06/05/1950,5.7,185.193, 
07/05/1950,8.7,658.503, 
08/05/1950,7.8,474.552, 
09/05/1950,9.1,753.571, 
10/05/1950,8.4,592.704, 
11/05/1950,9.4,830.584, 
12/05/1950,10.3,1092.727, 
13/05/1950,9.3,804.357, 
14/05/1950,8.5,614.125, 
15/05/1950,10,1000, 
16/05/1950,6.1,226.981, 
17/05/1950,5.5,166.375, 
18/05/1950,9.2,778.688, 
19/05/1950,6.2,238.328, 
20/05/1950,6.6,287.496, 
21/05/1950,19.3,7189.057, 
22/05/1950,7,343, 
23/05/1950,7.4,405.224, 
24/05/1950,11.2,1404.928, 
25/05/1950,12.8,2097.152, 
26/05/1950,9.2,778.688, 
27/05/1950,12.7,2048.383, 
28/05/1950,8.7,658.503, 
29/05/1950,13.5,2460.375, 
30/05/1950,9.6,884.736, 
31/05/1950,6.7,300.763, 
01/06/1950,6,216, 
02/06/1950,7.8,474.552, 
03/06/1950,13,2197, 
04/06/1950,10.6,1191.016, 
05/06/1950,4.3,79.507, 
06/06/1950,6.7,300.763, 
07/06/1950,7.1,357.911, 
08/06/1950,7.8,474.552, 
09/06/1950,5.8,195.112, 
10/06/1950,4.8,110.592, 
11/06/1950,7.5,421.875, 
12/06/1950,4.8,110.592, 
13/06/1950,9.7,912.673, 
14/06/1950,9.4,830.584, 
15/06/1950,8.8,681.472, 
16/06/1950,9,729, 
17/06/1950,7.2,373.248, 
18/06/1950,5.8,195.112, 
19/06/1950,7.3,389.017, 
20/06/1950,5.8,195.112, 
21/06/1950,10.1,1030.301, 
22/06/1950,7.7,456.533, 
23/06/1950,6.2,238.328, 
24/06/1950,8.6,636.056, 
25/06/1950,7.2,373.248, 
26/06/1950,11.5,1520.875, 
27/06/1950,12.6,2000.376, 
28/06/1950,15,3375, 
29/06/1950,12.7,2048.383, 
30/06/1950,11.9,1685.159, 
01/07/1950,4.9,117.649, 
02/07/1950,2.5,15.625, 
03/07/1950,7.4,405.224, 
04/07/1950,8.7,658.503, 
05/07/1950,7.1,357.911, 
06/07/1950,4.5,91.125, 
07/07/1950,9.5,857.375, 
08/07/1950,10.2,1061.208, 
09/07/1950,10.2,1061.208, 
10/07/1950,9.5,857.375, 
11/07/1950,9.5,857.375, 
12/07/1950,5.6,175.616, 
13/07/1950,9.5,857.375, 
14/07/1950,10.7,1225.043, 
15/07/1950,13.3,2352.637, 
16/07/1950,13.4,2406.104, 
17/07/1950,9.8,941.192, 
18/07/1950,10.3,1092.727, 
19/07/1950,8.2,551.368, 
20/07/1950,8.3,571.787, 
21/07/1950,9.1,753.571, 
22/07/1950,4.1,68.921, 
23/07/1950,7.5,421.875, 
24/07/1950,7,343, 
25/07/1950,8.8,681.472, 
26/07/1950,8.6,636.056, 
27/07/1950,8.6,636.056, 
28/07/1950,8.3,571.787, 
29/07/1950,9.7,912.673, 
30/07/1950,10.3,1092.727, 
31/07/1950,7.2,373.248, 
01/08/1950,9.9,970.299, 
02/08/1950,11.4,1481.544, 
03/08/1950,7.7,456.533, 
04/08/1950,11.2,1404.928, 
05/08/1950,12.9,2146.689, 
06/08/1950,9.1,753.571, 
07/08/1950,7.6,438.976, 
08/08/1950,14.2,2863.288, 
09/08/1950,17.9,5735.339, 
10/08/1950,15.1,3442.951, 
11/08/1950,10.6,1191.016, 
12/08/1950,8.3,571.787, 
13/08/1950,7,343, 
14/08/1950,10.3,1092.727, 
15/08/1950,13,2197, 
16/08/1950,12.2,1815.848, 
17/08/1950,11.8,1643.032, 
18/08/1950,10.8,1259.712, 
19/08/1950,9.9,970.299, 
20/08/1950,13.6,2515.456, 
21/08/1950,8.4,592.704, 
22/08/1950,9.7,912.673, 
23/08/1950,6.8,314.432, 
24/08/1950,2.9,24.389, 
25/08/1950,7.2,373.248, 
26/08/1950,7.7,456.533, 
27/08/1950,6.7,300.763, 
28/08/1950,4.2,74.088, 
29/08/1950,4.1,68.921, 
30/08/1950,4,64, 
31/08/1950,3.3,35.937, 
01/09/1950,9.8,941.192, 
02/09/1950,8.7,658.503, 
03/09/1950,14,2744, 
04/09/1950,14.4,2985.984, 
05/09/1950,9.5,857.375, 
06/09/1950,14.7,3176.523, 
07/09/1950,13.7,2571.353, 
08/09/1950,5.9,205.379, 
09/09/1950,3,27, 
10/09/1950,9,729, 
11/09/1950,10.1,1030.301, 
12/09/1950,13,2197, 
13/09/1950,17,4913, 
14/09/1950,15.4,3652.264, 
15/09/1950,8,512, 
16/09/1950,17,4913, 
17/09/1950,23.5,12977.875, 
18/09/1950,12,1728, 
19/09/1950,10.2,1061.208, 
20/09/1950,11.4,1481.544, 
21/09/1950,10.2,1061.208, 
22/09/1950,11.1,1367.631, 
23/09/1950,9.8,941.192, 
24/09/1950,9.2,778.688, 
25/09/1950,18,5832, 
26/09/1950,9.3,804.357, 
27/09/1950,13.5,2460.375, 
28/09/1950,10.6,1191.016, 
29/09/1950,7.5,421.875, 
30/09/1950,9.4,830.584, 
01/10/1950,9.7,912.673, 
02/10/1950,9.9,970.299, 
03/10/1950,13.9,2685.619, 
04/10/1950,19.9,7880.599, 
05/10/1950,13,2197, 
06/10/1950,14.3,2924.207, 
07/10/1950,14.2,2863.288, 
08/10/1950,12.6,2000.376, 
09/10/1950,13.2,2299.968, 
10/10/1950,12,1728, 
11/10/1950,8.6,636.056, 
12/10/1950,15.2,3511.808, 
13/10/1950,12,1728, 
14/10/1950,7.9,493.039, 
15/10/1950,3.3,35.937, 
16/10/1950,13.5,2460.375, 
17/10/1950,8.7,658.503, 
18/10/1950,10.2,1061.208, 
19/10/1950,9.1,753.571, 
20/10/1950,2.3,12.167, 
21/10/1950,9.2,778.688, 
22/10/1950,7.7,456.533, 
23/10/1950,4.5,91.125, 
24/10/1950,5,125, 
25/10/1950,6.3,250.047, 
26/10/1950,10.5,1157.625, 
27/10/1950,6.6,287.496, 
28/10/1950,1.4,2.744, 
29/10/1950,12,1728, 
30/10/1950,9.8,941.192, 
31/10/1950,12.5,1953.125, 
01/11/1950,7,343, 
02/11/1950,4.7,103.823, 
03/11/1950,3.5,42.875, 
04/11/1950,5.3,148.877, 
05/11/1950,7.5,421.875, 
06/11/1950,5.8,195.112, 
07/11/1950,8.4,592.704, 
08/11/1950,13.8,2628.072, 
09/11/1950,10.8,1259.712, 
10/11/1950,7.1,357.911, 
11/11/1950,7.8,474.552, 
12/11/1950,10.3,1092.727, 
13/11/1950,13.8,2628.072, 
14/11/1950,11.4,1481.544, 
15/11/1950,1.5,3.375, 
16/11/1950,1.6,4.096, 
17/11/1950,9,729, 
18/11/1950,18.5,6331.625, 
19/11/1950,8.8,681.472, 
20/11/1950,1.7,4.913, 
21/11/1950,8.3,571.787, 
22/11/1950,9.8,941.192, 
23/11/1950,8.9,704.969, 
24/11/1950,4.9,117.649, 
25/11/1950,2.9,24.389, 
26/11/1950,1.8,5.832, 
27/11/1950,11,1331, 
28/11/1950,9.7,912.673, 
29/11/1950,13.8,2628.072, 
30/11/1950,20.3,8365.427, 
01/12/1950,15.8,3944.312, 
02/12/1950,6.4,262.144, 
03/12/1950,8.4,592.704, 
04/12/1950,6.4,262.144, 
05/12/1950,3.7,50.653, 
06/12/1950,8.6,636.056, 
07/12/1950,9.8,941.192, 
08/12/1950,8,512, 
09/12/1950,13.2,2299.968, 
10/12/1950,9.2,778.688, 
11/12/1950,13.9,2685.619, 
12/12/1950,3.8,54.872, 
13/12/1950,8,512, 
14/12/1950,10,1000, 
15/12/1950,6.8,314.432, 
16/12/1950,8.4,592.704, 
17/12/1950,3.4,39.304, 
18/12/1950,7.2,373.248, 
19/12/1950,8.9,704.969, 
20/12/1950,5.4,157.464, 
21/12/1950,13.7,2571.353, 
22/12/1950,12.4,1906.624, 
23/12/1950,7.9,493.039, 
24/12/1950,7.1,357.911, 
25/12/1950,2.8,21.952, 
26/12/1950,2,8, 
27/12/1950,6.6,287.496, 
28/12/1950,2.1,9.261, 
29/12/1950,4.2,74.088, 
30/12/1950,2.5,15.625, 
31/12/1950,4.5,91.125, 
01/01/1951,3.4,39.304, 
02/01/1951,5.1,132.651, 
03/01/1951,6.1,226.981, 
04/01/1951,9.2,778.688, 
05/01/1951,7.1,357.911, 
06/01/1951,2.8,21.952, 
07/01/1951,7.1,357.911, 
08/01/1951,5.5,166.375, 
09/01/1951,5.4,157.464, 
10/01/1951,8.6,636.056, 
11/01/1951,12.2,1815.848, 
12/01/1951,10.8,1259.712, 
13/01/1951,9.8,941.192, 
14/01/1951,10.5,1157.625, 
15/01/1951,7.1,357.911, 
16/01/1951,12,1728, 
17/01/1951,20.7,8869.743, 
18/01/1951,14.9,3307.949, 
19/01/1951,15.8,3944.312, 
20/01/1951,7.8,474.552, 
21/01/1951,15.1,3442.951, 
22/01/1951,9,729, 
23/01/1951,5.3,148.877, 
24/01/1951,3,27, 
25/01/1951,9.9,970.299, 
26/01/1951,6.9,328.509, 
27/01/1951,3.9,59.319, 
28/01/1951,3.9,59.319, 
29/01/1951,10.1,1030.301, 
30/01/1951,10.6,1191.016, 
31/01/1951,9.1,753.571, 
01/02/1951,16.4,4410.944, 
02/02/1951,2,8, 
03/02/1951,8.5,614.125, 
04/02/1951,8.8,681.472, 
05/02/1951,17.5,5359.375, 
06/02/1951,8.2,551.368, 
07/02/1951,9.6,884.736, 
08/02/1951,8.1,531.441, 
09/02/1951,5.8,195.112, 
10/02/1951,4.1,68.921, 
11/02/1951,10.8,1259.712, 
12/02/1951,4.4,85.184, 
13/02/1951,0.4,0.064, 
14/02/1951,0,0, 
15/02/1951,7.1,357.911, 
16/02/1951,10.2,1061.208, 
17/02/1951,17.8,5639.752, 
18/02/1951,9.5,857.375, 
19/02/1951,14.1,2803.221, 
20/02/1951,11.2,1404.928, 
21/02/1951,10.2,1061.208, 
22/02/1951,12.5,1953.125, 
23/02/1951,5.2,140.608, 
